Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Aegis Sculptor,TDM,Tarkir: Dragonstorm,35,normal,uncommon,2,104248,19c1417a-9719-46f6-8749-d92b93ce0529,0.03,false,false,near_mint,en,EUR
Frolicking Familiar // Blow Off Steam,WOE,Wilds of Eldraine,226,normal,uncommon,2,85455,64c432d5-4f5b-44ac-9d61-891e78460d58,0.09,false,false,near_mint,en,EUR
Gadwick's First Duel,WOE,Wilds of Eldraine,51,normal,uncommon,2,85655,af07c47f-8b4e-43cb-b469-2efb82aa5590,0.04,false,false,near_mint,en,EUR
Dragonstorm Forecaster,TDM,Tarkir: Dragonstorm,43,normal,uncommon,2,104740,75ec7a31-1893-493c-926b-dc3a8a770e72,0.03,false,false,near_mint,en,EUR
Fresh Start,TDM,Tarkir: Dragonstorm,46,normal,uncommon,2,104818,96f7af08-ac05-45d0-979f-282943130c61,0.07,false,false,near_mint,en,EUR
"Gandalf, Friend of the Shire",LTR,The Lord of the Rings: Tales of Middle-earth,50,normal,uncommon,2,83510,cc9cfcc7-be64-4871-8d52-851e43fe3305,0.13,false,false,near_mint,en,EUR
"Bill Ferny, Bree Swindler",LTR,The Lord of the Rings: Tales of Middle-earth,42,normal,uncommon,2,82919,20ac63cb-fa4d-4340-8062-1029c8bd5ec8,0.04,false,false,near_mint,en,EUR
"Meneldor, Swift Savior",LTR,The Lord of the Rings: Tales of Middle-earth,62,normal,uncommon,2,83131,62d2ee20-abbc-4a9d-8d30-4223242123e8,0.08,false,false,near_mint,en,EUR
Superior Numbers,MIR,Mirage,244,normal,uncommon,2,38346,43d90914-ddfc-49c2-8e58-fdc3693040f2,0.15,false,false,near_mint,en,EUR
Splashy Spellcaster,WOE,Wilds of Eldraine,70,normal,uncommon,2,85493,73ebd7f0-a54d-43a8-a5ee-9d6835308794,0.02,false,false,near_mint,en,EUR
Succumb to the Cold,WOE,Wilds of Eldraine,72,normal,uncommon,2,85703,c14d9fc0-bfbf-4359-93bf-5e53466965d6,0.03,false,false,near_mint,en,EUR
Galvanic Giant // Storm Reading,WOE,Wilds of Eldraine,52,normal,uncommon,2,85439,60976109-30ad-4f12-99eb-c5ef560fcf1b,0.05,false,false,near_mint,en,EUR
Eyes Everywhere,RVR,Ravnica Remastered,43,normal,uncommon,2,89909,cf5aa4a2-f5fb-4771-9dd8-f41d8c65e687,0.09,false,false,near_mint,en,EUR
Disdainful Stroke,WOE,Wilds of Eldraine,47,normal,uncommon,2,85411,588c6217-c460-417e-98bf-de5475780baf,0.06,false,false,near_mint,en,EUR
Exit Specialist,MKM,Murders at Karlov Manor,55,normal,uncommon,2,90730,268f142d-9fb1-4673-b804-add1f08dacb9,0.08,false,false,near_mint,en,EUR
Candlestick,MKM,Murders at Karlov Manor,43,normal,uncommon,2,90898,5aeae6fb-3834-4891-924e-3d1fb3e19e09,0.07,false,false,near_mint,en,EUR
Burden of Proof,MKM,Murders at Karlov Manor,42,normal,uncommon,2,90855,4ea29c34-4b55-4170-9120-0a8dda61f2eb,0.04,false,false,near_mint,en,EUR
Fae Flight,MKM,Murders at Karlov Manor,56,normal,uncommon,2,91231,d9caa4eb-ed8c-4d05-8029-2a42163938a7,0.08,false,false,near_mint,en,EUR
Living Conundrum,MKM,Murders at Karlov Manor,63,normal,uncommon,2,91065,97fb11c7-7b7f-4bdb-a022-53e28ebadecc,0.05,false,false,near_mint,en,EUR
Furtive Courier,MKM,Murders at Karlov Manor,59,normal,uncommon,3,90953,6f359fc2-b9e4-4a01-9d04-442bb160b01e,0.03,false,false,near_mint,en,EUR
Cerulean Sphinx,RVR,Ravnica Remastered,36,normal,uncommon,3,89673,4ccc3647-4cbc-4fec-91f5-5bc064530174,0.03,false,false,near_mint,en,EUR
Aetherplasm,RVR,Ravnica Remastered,34,normal,uncommon,3,89536,07d71f03-de9c-4a85-be22-e4eb4d98a343,0.06,false,false,near_mint,en,EUR
Unrooted Ancestor,TDM,Tarkir: Dragonstorm,96,normal,uncommon,1,104689,6394b125-21a8-4439-9958-94b76684138e,0.03,false,false,near_mint,en,EUR
Stab Wound,RVR,Ravnica Remastered,93,normal,uncommon,1,89901,cbe656e7-ae71-45c2-a263-588b73f70d73,0.07,false,false,near_mint,en,EUR
High Fae Negotiator,WOE,Wilds of Eldraine,94,normal,uncommon,1,85823,f0fc77e7-154d-4433-93b3-1a1dee34791b,0.04,false,false,near_mint,en,EUR
Hundred-Battle Veteran,TDM,Tarkir: Dragonstorm,82,normal,uncommon,1,105017,e53adf93-2db5-4087-a2dc-c8f53401d700,0.03,false,false,near_mint,en,EUR
Corroding Dragonstorm,TDM,Tarkir: Dragonstorm,75,normal,uncommon,1,104372,e2a2d395-26d6-4eb2-9e8c-ed7dbbd3a8f5,0.09,false,false,near_mint,en,EUR
Festerleech,MKM,Murders at Karlov Manor,85,normal,uncommon,1,91017,83a6fa37-8351-403b-ae05-b67e9bf74bbb,0.04,false,false,near_mint,en,EUR
Gollum's Bite,LTR,The Lord of the Rings: Tales of Middle-earth,85,normal,uncommon,1,82900,1b1e790e-ff82-4888-8aee-9986c646241a,0.05,false,false,near_mint,en,EUR
Krumar Initiate,TDM,Tarkir: Dragonstorm,84,normal,uncommon,1,104916,bc66680f-24ab-433a-8197-feac3a174075,0.03,false,false,near_mint,en,EUR
Mausoleum Turnkey,CLU,Ravnica: Clue Edition,116,normal,uncommon,1,91156,bb0f0260-b737-43aa-a6fc-9e0b55b24369,0.09,false,false,near_mint,en,EUR
Case of the Gorgon's Kiss,MKM,Murders at Karlov Manor,79,normal,uncommon,1,90831,45e4c07a-3205-4193-8163-b0e63e6242a4,0.07,false,false,near_mint,en,EUR
Persuasive Interrogators,MKM,Murders at Karlov Manor,345,normal,uncommon,1,90941,6c134956-ba18-415e-b101-c1254415ea04,0.05,false,false,near_mint,en,EUR
March from the Black Gate,LTR,The Lord of the Rings: Tales of Middle-earth,94,normal,uncommon,1,82810,e57815d4-b21f-4ceb-a3f1-73cff5f0e612,0.09,false,false,near_mint,en,EUR
Long Goodbye,MKM,Murders at Karlov Manor,92,normal,uncommon,1,91184,c3896705-bbd2-4ffb-a590-ee78e0eabdc5,0.19,false,false,near_mint,en,EUR
"Gothmog, Morgul Lieutenant",LTR,The Lord of the Rings: Tales of Middle-earth,87,normal,uncommon,1,83353,a1c10e93-88eb-46b9-8adc-583661807990,0.06,false,false,near_mint,en,EUR
Bitter Downfall,LTR,The Lord of the Rings: Tales of Middle-earth,77,normal,uncommon,1,83593,e4b83aa1-33ce-4b8d-ae5a-72f64eef5f09,0.03,false,false,near_mint,en,EUR
Leering Onlooker,MKM,Murders at Karlov Manor,91,normal,uncommon,1,91244,dc687588-9c57-411d-b666-b9699949d48f,0.05,false,false,near_mint,en,EUR
Gorbag of Minas Morgul,LTR,The Lord of the Rings: Tales of Middle-earth,86,normal,uncommon,1,83097,58aafdb6-1c8c-4fc4-a52e-3e601be7fb0c,0.04,false,false,near_mint,en,EUR
Venerated Stormsinger,TDM,Tarkir: Dragonstorm,97,normal,uncommon,1,104858,a4a4e985-facd-47e6-b680-3023c82c2957,0.12,false,false,near_mint,en,EUR
Nightdrinker Moroii,MKM,Murders at Karlov Manor,96,normal,uncommon,1,91216,ce043cba-aea4-4156-b1d0-545eda06c400,0.03,false,false,near_mint,en,EUR
It Doesn't Add Up,MKM,Murders at Karlov Manor,89,normal,uncommon,1,91325,fa02dbc2-ad01-47fd-b39e-f0a695029f26,0.06,false,false,near_mint,en,EUR
Gríma Wormtongue,LTR,The Lord of the Rings: Tales of Middle-earth,88,normal,uncommon,1,83283,8e3bd86b-e8ca-4885-a823-78fb967e6caf,0.05,false,false,near_mint,en,EUR
Slimy Dualleech,MKM,Murders at Karlov Manor,104,normal,uncommon,1,90847,4bc803ad-f8a2-4198-a8a6-8d987b3d00fb,0.03,false,false,near_mint,en,EUR
Presumed Dead,MKM,Murders at Karlov Manor,100,normal,uncommon,1,90853,4dd64e5c-ea0b-4ea0-aba3-88e7e96ac7ba,0.04,false,false,near_mint,en,EUR
Polygraph Orb,MKM,Murders at Karlov Manor,99,normal,uncommon,1,91101,a6cc4c6f-4a84-4d42-89fa-7405f7ad6ba0,0.09,false,false,near_mint,en,EUR
Lead Pipe,MKM,Murders at Karlov Manor,90,normal,uncommon,1,91028,87f69249-c6e4-40c1-9870-b9c45ce24c39,0.03,false,false,near_mint,en,EUR
Voracious Fell Beast,LTR,The Lord of the Rings: Tales of Middle-earth,113,normal,uncommon,2,83554,d9b7d7f8-503d-4660-9a18-6a8e2fcaa25f,0.06,false,false,near_mint,en,EUR
Ashiok's Reaper,WOE,Wilds of Eldraine,79,normal,uncommon,2,85527,83957fe0-6500-420c-9b7a-2448a1c1d3b3,0.05,false,false,near_mint,en,EUR
Oath of the Grey Host,LTR,The Lord of the Rings: Tales of Middle-earth,101,normal,uncommon,2,83165,6a780abd-f276-40d3-b2af-d2e47d858d3d,0.05,false,false,near_mint,en,EUR
The Witch's Vanity,WOE,Wilds of Eldraine,119,normal,uncommon,2,85374,47ca4926-b5ac-405a-8b58-f8db6df400ff,0.06,false,false,near_mint,en,EUR
Alchemist's Assistant,TDM,Tarkir: Dragonstorm,71,normal,uncommon,2,105131,4d305609-64f8-4f3f-bf67-cd5257f0d01e,0.04,false,false,near_mint,en,EUR
"Gollum, Patient Plotter",LTR,The Lord of the Rings: Tales of Middle-earth,84,normal,uncommon,1,83069,4ddda7d4-0226-404f-8418-f1f5720dcef8,0.08,false,false,near_mint,en,EUR
Purging Stormbrood // Absorb Essence,TDM,Tarkir: Dragonstorm,213,normal,uncommon,2,104271,3988dc76-072c-4f43-849d-2e73c6f6ff58,0.04,false,false,near_mint,en,EUR
Gurmag Rakshasa,TDM,Tarkir: Dragonstorm,81,normal,uncommon,2,105173,f05ad909-8860-473b-9a30-a322f7670b32,0.04,false,false,near_mint,en,EUR
Wail of War,TDM,Tarkir: Dragonstorm,98,normal,uncommon,2,104764,7e9430dd-f583-400d-808a-64e2b5fa54f1,0.09,false,false,near_mint,en,EUR
Salt Road Skirmish,TDM,Tarkir: Dragonstorm,88,normal,uncommon,2,105144,8f529a2e-5102-492e-84ab-68541d83b5a3,0.03,false,false,near_mint,en,EUR
Dreadmalkin,RVR,Ravnica Remastered,75,normal,uncommon,2,89821,9dc48d40-630b-4699-9cc9-5035313f538b,0.06,false,false,near_mint,en,EUR
Back for Seconds,WOE,Wilds of Eldraine,80,normal,uncommon,2,85457,660845b5-96fa-4484-822b-aa0508801306,0.06,false,false,near_mint,en,EUR
Vindictive Vampire,CLU,Ravnica: Clue Edition,126,normal,uncommon,2,90781,335cf2ae-90c3-407e-9e4a-5e18aab74744,0.2,false,false,near_mint,en,EUR
Undercity Eliminator,MKM,Murders at Karlov Manor,108,normal,uncommon,2,91100,a67a4c5e-215b-4f03-87f7-c1af4f9f0a63,0.03,false,false,near_mint,en,EUR
Taken by Nightmares,WOE,Wilds of Eldraine,112,normal,uncommon,2,85846,f858d83d-a13e-4ffa-a91d-d695e5e5d71a,0.04,false,false,near_mint,en,EUR
"Grond, the Gatebreaker",LTR,The Lord of the Rings: Tales of Middle-earth,89,normal,uncommon,2,83056,4bc61b28-afdd-4de9-829b-ffe5ca7c7f19,0.06,false,false,near_mint,en,EUR
Clandestine Meddler,MKM,Murders at Karlov Manor,82,normal,uncommon,3,90760,2e069de0-3218-456c-b191-93e755634783,0.03,false,false,near_mint,en,EUR
Twisted Sewer-Witch,WOE,Wilds of Eldraine,114,normal,uncommon,3,85750,d6e3ddf7-582d-4923-be30-8428e52237e4,0.09,false,false,near_mint,en,EUR
Woebringer Demon,RVR,Ravnica Remastered,98,normal,uncommon,3,89785,88b86280-f7a5-4d4d-bc00-71f21590835e,0.05,false,false,near_mint,en,EUR
Duty Beyond Death,TDM,Tarkir: Dragonstorm,10,normal,uncommon,1,104265,2e92640d-768b-4357-905f-bea017d351cc,0.17,false,false,near_mint,en,EUR
Call a Surprise Witness,MKM,Murders at Karlov Manor,6,normal,uncommon,1,91309,f5148def-cf1a-460e-8dfd-856103940892,0.07,false,false,near_mint,en,EUR
Loxodon Battle Priest,TDM,Tarkir: Dragonstorm,15,normal,uncommon,1,104861,a527cdb0-f54a-4b53-83a0-6b3e8cafa45e,0.02,false,false,near_mint,en,EUR
"Faramir, Field Commander",LTR,The Lord of the Rings: Tales of Middle-earth,14,normal,uncommon,1,82889,17c2250a-9af1-40de-9f09-7e8c7daec520,0.04,false,false,near_mint,en,EUR
Sanctuary Wall,MKM,Murders at Karlov Manor,32,normal,uncommon,1,90843,4a009ba2-c7b9-4cf6-bb90-9d6fd589e932,0.05,false,false,near_mint,en,EUR
Dalkovan Packbeasts,TDM,Tarkir: Dragonstorm,7,normal,uncommon,1,104631,4df7b253-6107-47d6-b650-cb4d3e0aec6b,0.1,false,false,near_mint,en,EUR
"Éowyn, Lady of Rohan",LTR,The Lord of the Rings: Tales of Middle-earth,10,normal,uncommon,1,83594,e59710c4-24de-419e-a8a0-e8392d450c23,0.08,false,false,near_mint,en,EUR
Descendant of Storms,TDM,Tarkir: Dragonstorm,8,normal,uncommon,1,105056,f632be90-9e7f-41f8-a52e-a2952354d730,0.06,false,false,near_mint,en,EUR
Stormbeacon Blade,TDM,Tarkir: Dragonstorm,27,normal,uncommon,1,105176,f2f12684-c80a-422b-9c3f-ed4f31742b9d,0.05,false,false,near_mint,en,EUR
Dutiful Griffin,WOE,Wilds of Eldraine,11,normal,uncommon,1,85683,b8e40377-990f-41ea-8dd2-62a998dcd128,0.03,false,false,near_mint,en,EUR
Solitary Sanctuary,WOE,Wilds of Eldraine,30,normal,uncommon,1,85738,d155693c-def0-4290-b662-ab9932e07fe5,0.07,false,false,near_mint,en,EUR
Krovod Haunch,MKM,Murders at Karlov Manor,21,normal,uncommon,1,91315,f663cd86-39e6-467b-85b7-dd27536251a6,0.07,false,false,near_mint,en,EUR
Glass Casket,WOE,Wilds of Eldraine,16,normal,uncommon,1,85226,02c5c395-ee8b-47fd-ac52-256354c19cdf,0.04,false,false,near_mint,en,EUR
Ministrant of Obligation,RVR,Ravnica Remastered,23,normal,uncommon,1,89834,a37658ab-2dda-4412-9cc2-3b2df32c7581,0.07,false,false,near_mint,en,EUR
Condemn,RVR,Ravnica Remastered,14,normal,uncommon,1,89549,0c93201b-7664-4bfd-a462-f1c684ebedf6,0.15,false,false,near_mint,en,EUR
Azorius Justiciar,CLU,Ravnica: Clue Edition,55,normal,uncommon,1,90677,1628e808-f0d7-4225-8020-d9cbd14c510e,0.07,false,false,near_mint,en,EUR
Essence of Antiquity,MKM,Murders at Karlov Manor,15,normal,uncommon,1,91123,aee2945d-bf6d-4328-a482-df24c2973b56,0.06,false,false,near_mint,en,EUR
Perimeter Enforcer,MKM,Murders at Karlov Manor,31,normal,uncommon,1,90702,1f88d077-5082-4a67-91e4-97aafb9a5e91,0.02,false,false,near_mint,en,EUR
Neighborhood Guardian,MKM,Murders at Karlov Manor,26,normal,uncommon,1,90625,0438d482-b74c-4d5e-a2bc-7063c1ae73fa,0.06,false,false,near_mint,en,EUR
Forum Familiar,MKM,Murders at Karlov Manor,16,normal,uncommon,1,91131,b06a243d-acc8-42cd-926c-98a4cc96ab21,0.09,false,false,near_mint,en,EUR
Bill the Pony,LTR,The Lord of the Rings: Tales of Middle-earth,3,normal,uncommon,2,83328,9ac68519-ed7f-4f38-9549-c02975f88eed,0.07,false,false,near_mint,en,EUR
You Cannot Pass!,LTR,The Lord of the Rings: Tales of Middle-earth,38,normal,uncommon,2,82859,116d4030-acd2-4aa2-8254-aaaff1264459,0.04,false,false,near_mint,en,EUR
Teeming Dragonstorm,TDM,Tarkir: Dragonstorm,30,normal,uncommon,2,104563,3b9d771f-24dc-4ed6-8051-62df576a2ba5,0.04,false,false,near_mint,en,EUR
Discerning Financier,WOE,Wilds of Eldraine,10,normal,uncommon,2,85409,584774b5-640f-45e0-810b-f5faf119645b,0.07,false,false,near_mint,en,EUR
Starry-Eyed Skyrider,TDM,Tarkir: Dragonstorm,25,normal,uncommon,2,104624,4b3cc15e-1c82-454e-b541-4ab47c44814e,0.09,false,false,near_mint,en,EUR
"Landroval, Horizon Witness",LTR,The Lord of the Rings: Tales of Middle-earth,21,normal,uncommon,2,83089,5684483b-9a6a-499b-a5e1-e2815ee03cdb,0.06,false,false,near_mint,en,EUR
Wayspeaker Bodyguard,TDM,Tarkir: Dragonstorm,34,normal,uncommon,2,104676,5e5b2324-69fe-4105-b6f8-14dfbe359d59,0.09,false,false,near_mint,en,EUR
Tale of Tinúviel,LTR,The Lord of the Rings: Tales of Middle-earth,34,normal,uncommon,2,83330,9ae65f96-7bfd-4390-88bf-764c26bf4668,0.09,false,false,near_mint,en,EUR
Shire Shirriff,LTR,The Lord of the Rings: Tales of Middle-earth,30,normal,uncommon,2,83039,444b687f-2571-4c55-a497-d24b9e18bc0f,0.03,false,false,near_mint,en,EUR
Urbis Protector,CLU,Ravnica: Clue Edition,79,normal,uncommon,2,91024,8771abc9-e1f2-4d4f-8492-3209866cdc05,0.08,false,false,near_mint,en,EUR
Eerie Interference,WOE,Wilds of Eldraine,12,normal,uncommon,2,85364,42a74545-75c8-4a6b-bee1-ac5665d9bcf0,0.05,false,false,near_mint,en,EUR
Shrouded Shepherd // Cleave Shadows,WOE,Wilds of Eldraine,236,normal,uncommon,2,85644,ab03c342-2bf4-41bf-8bb8-472d978d238a,0.06,false,false,near_mint,en,EUR
Devouring Light,RVR,Ravnica Remastered,15,normal,uncommon,2,89845,a81a828b-e17e-4789-b73e-1f44a7f03e9f,0.04,false,false,near_mint,en,EUR
Knight of Doves,WOE,Wilds of Eldraine,19,normal,uncommon,2,85669,b4f33617-ad19-4d42-ab94-6f21a7fb3dd4,0.09,false,false,near_mint,en,EUR
Cursed Courtier,WOE,Wilds of Eldraine,9,normal,uncommon,1,85356,3d2d5a71-d6e1-4c96-9a53-0e370047a56e,0.02,false,false,near_mint,en,EUR
Woodland Acolyte // Mend the Wilds,WOE,Wilds of Eldraine,241,normal,uncommon,2,85687,b9f10623-4783-4773-b9c8-a5a2bcfdb5d9,0.09,false,false,near_mint,en,EUR
Mistral Charger,RVR,Ravnica Remastered,24,normal,uncommon,2,89811,97b4c2d1-ba84-4051-a2e2-5b9710a3823e,0.05,false,false,near_mint,en,EUR
Absolving Lammasu,MKM,Murders at Karlov Manor,2,normal,uncommon,2,91163,bd6e71a1-713e-4eca-bd65-9f0638c16794,0.03,false,false,near_mint,en,EUR
Case of the Gateway Express,MKM,Murders at Karlov Manor,8,normal,uncommon,2,90635,0862bf07-8a76-4e80-bba2-20d22f8eee30,0.1,false,false,near_mint,en,EUR
Case of the Pilfered Proof,MKM,Murders at Karlov Manor,9,normal,uncommon,2,90776,32927bf2-63c1-4402-99dc-3a0f2f8e0f9c,0.05,false,false,near_mint,en,EUR
Karlov Watchdog,MKM,Murders at Karlov Manor,20,normal,uncommon,2,90983,79cfb366-ae2a-4b3d-9a80-383a32db1509,0.06,false,false,near_mint,en,EUR
Cheeky House-Mouse // Squeak By,WOE,Wilds of Eldraine,7,normal,uncommon,3,85292,1f3013bf-9647-4bdb-a638-d299ae00f88e,0.13,false,false,near_mint,en,EUR
Food Coma,WOE,Wilds of Eldraine,308,normal,uncommon,4,85442,61ba2aed-3514-4db9-8da0-329620b12f63,0.11,false,false,near_mint,en,EUR
Gallant Pie-Wielder,WOE,Wilds of Eldraine,15,normal,uncommon,4,85779,e053d330-d0a2-4468-afba-42bf165b8fbf,0.04,false,false,near_mint,en,EUR
Sunhome Stalwart,CLU,Ravnica: Clue Edition,73,normal,uncommon,4,90815,3eb6a3ab-29eb-4c9a-995b-04de1c0dd4c9,0.05,false,false,near_mint,en,EUR
Convenient Target,MKM,Murders at Karlov Manor,305,normal,uncommon,1,91254,e11c0f62-80a0-4e45-9ed2-295814475a3f,0.1,false,false,near_mint,en,EUR
Expose the Culprit,MKM,Murders at Karlov Manor,307,normal,uncommon,1,91240,dbaae9b6-510f-4039-8cca-fe7d7c57f1c5,0.06,false,false,near_mint,en,EUR
Runescale Stormbrood // Chilling Screech,TDM,Tarkir: Dragonstorm,221,normal,uncommon,1,104533,317744d1-ed78-4b53-a4d8-8c7ecfd9c4ae,0.06,false,false,near_mint,en,EUR
Caught Red-Handed,MKM,Murders at Karlov Manor,115,normal,uncommon,1,91060,95bc5f89-2f01-40c4-9883-4c90ab89fcbb,0.05,false,false,near_mint,en,EUR
Éomer of the Riddermark,LTR,The Lord of the Rings: Tales of Middle-earth,121,normal,uncommon,1,83552,d920fcaf-4988-4186-962d-cdda25d79e7b,0.03,false,false,near_mint,en,EUR
Siege of Towers,RVR,Ravnica Remastered,123,normal,uncommon,1,89566,13bf0a97-2dcf-4d18-bb3f-92d0406c7b4b,0.03,false,false,near_mint,en,EUR
Book of Mazarbul,LTR,The Lord of the Rings: Tales of Middle-earth,116,normal,uncommon,1,82829,04dcef75-6f98-4233-ae32-6fe41724c8e0,0.05,false,false,near_mint,en,EUR
Concealed Weapon,MKM,Murders at Karlov Manor,117,normal,uncommon,1,90796,38e31fa6-a445-47c6-a73f-135087f6d760,0.04,false,false,near_mint,en,EUR
Bolrac-Clan Basher,MKM,Murders at Karlov Manor,112,normal,uncommon,1,91151,b87683f7-8a61-4e4a-8b8b-3bf812454096,0.03,false,false,near_mint,en,EUR
Case of the Burning Masks,MKM,Murders at Karlov Manor,113,normal,uncommon,1,90743,29ee07df-215f-45a6-9a5a-708143d73e45,0.03,false,false,near_mint,en,EUR
Cornered Crook,MKM,Murders at Karlov Manor,120,normal,uncommon,1,91092,a3aff1ea-1d25-49c3-a2d9-f435124a5969,0.02,false,false,near_mint,en,EUR
Equilibrium Adept,TDM,Tarkir: Dragonstorm,106,normal,uncommon,1,104335,a4ba6d74-c6be-4a5e-8859-b791bb6b8f51,0.03,false,false,near_mint,en,EUR
Harried Dronesmith,MKM,Murders at Karlov Manor,131,normal,uncommon,1,90787,36cb25ee-3c84-40a8-ba45-7e44893deecf,0.04,false,false,near_mint,en,EUR
"Erkenbrand, Lord of Westfold",LTR,The Lord of the Rings: Tales of Middle-earth,123,normal,uncommon,1,82999,38f81e68-cddd-47f4-b1d1-a297c3298c25,0.06,false,false,near_mint,en,EUR
Foray of Orcs,LTR,The Lord of the Rings: Tales of Middle-earth,128,normal,uncommon,1,83116,5fea0c66-c776-4dc7-a235-f3822521cacd,0.05,false,false,near_mint,en,EUR
"Fear, Fire, Foes!",LTR,The Lord of the Rings: Tales of Middle-earth,125,normal,uncommon,1,82995,37be98a4-0cba-46b4-be93-a9805fe77160,0.07,false,false,near_mint,en,EUR
Goblin Fireleaper,LTR,The Lord of the Rings: Tales of Middle-earth,133,normal,uncommon,1,83620,ec120dae-8c40-4053-9341-1f7774464634,0.03,false,false,near_mint,en,EUR
Iridescent Tiger,TDM,Tarkir: Dragonstorm,109,normal,uncommon,1,105170,e3abbc8b-2bf8-478e-a541-f8019d150054,0.03,false,false,near_mint,en,EUR
Korvold and the Noble Thief,WOE,Wilds of Eldraine,139,normal,uncommon,1,85636,a811b2cb-ffc7-4100-ac3e-bc4125842bb2,0.07,false,false,near_mint,en,EUR
Breaching Dragonstorm,TDM,Tarkir: Dragonstorm,101,normal,uncommon,1,105013,e2c2a069-7553-4879-abfb-b2aa3349e4b8,0.13,false,false,near_mint,en,EUR
Vengeful Tracker,MKM,Murders at Karlov Manor,147,normal,uncommon,1,91086,a247c9a0-0c65-47bc-92fd-bebe95cd35a3,0.06,false,false,near_mint,en,EUR
